train,test
0.18793200480698902,0.09847648987792099
0.1332113120936133,0.07112211834077646
0.09506235789809941,0.049191243853294306
0.05572099710253789,0.03340399344451949
0.03728600151202286,0.03046949865099991
0.03365011098021848,0.025106746331908205
0.028135529504299695,0.023254357431374568
0.026356590403000354,0.020564605712300302
0.02381569360850109,0.016928637550384144
0.020147876511478913,0.01411559743313327
0.016188563469856185,0.011804645792998928
0.01312432536942451,0.011045048099218231
0.01237788771316407,0.010646881630113438
0.011841060791304118,0.009793733216870519
0.010693262316493982,0.008651761718502652
0.009352252804559681,0.007201959632364869
0.00782144060449845,0.006035771938649671
0.0066066315048808315,0.0054892091883821355
0.006162411345259444,0.005054567940559221
0.0058214640502579325,0.004551575816182737
0.00534392504261584,0.004080992748060922
0.0047745235169979845,0.00360989784447277
0.0041256764716606255,0.0032124916499454217
0.0036230950095325004,0.002996760710936166
0.003301424093390832,0.002795931189547133
0.0030235301189496795,0.00253931372442992
0.00266329442890173,0.0023060242884043775
0.0023948352956875037,0.0021684082013746545
0.0022852419062849502,0.0020533129089406314
0.002214107597737502,0.001955629105529035
0.0021354993383787668,0.0018221567883647003
0.001997330902583358,0.0016957711851187415
0.00179862108133816,0.0016195639084968583
0.0016956524197400285,0.001559506632838422
0.0016027745040190962,0.0014876907988562902
0.0015169667607699796,0.001430692652000575
0.0014506333636637547,0.001368216158688923
0.0013959810583237732,0.001318503032234105
0.0013539895289786932,0.0012702052731977604
0.0013015863937287189,0.0012181785675163942
0.0012446998282401635,0.0011780719437815821
0.001191101137408757,0.0011068741925577194
0.0011179067862289334,0.0010520047725735434
0.0010714372425838906,0.0010047418459539115
0.0010311467440897034,9.78402655246065E-4
0.001009229444994343,9.655074063066787E-4
9.91907585051071E-4,9.460173805383409E-4
9.688440890643685E-4,9.292878836411865E-4
9.473232310814015E-4,8.964557738299035E-4
9.104170149690554E-4,8.368351179894579E-4
8.554162816425705E-4,7.980158721907835E-4
8.174628718505246E-4,7.722076137507599E-4
7.943744517040772E-4,7.449696541588426E-4
7.693751747309745E-4,7.05052845051826E-4
7.336300025553946E-4,6.864195690381691E-4
7.152644679144247E-4,6.714556190286867E-4
7.043044178772772E-4,6.611741363941642E-4
6.946336279449896E-4,6.494992930301556E-4
6.82254079748528E-4,6.323138410690302E-4
6.613570589812491E-4,6.189835480631019E-4
6.423598360030035E-4,6.09961235254981E-4
6.30284643696308E-4,5.989945851639337E-4
6.155856858174571E-4,5.794241812159374E-4
5.949882337181414E-4,5.672849985887572E-4
5.80437393034678E-4,5.513801716419016E-4
5.680182725615711E-4,5.403071072105622E-4
